INSTNM,STABBR,LATITUDE,LONGITUDE,ICLEVEL
Arizona Christian University,AZ,33.595117,-112.026211,1
Universal Technical Institute of Arizona Inc,AZ,33.453005,-112.288123,2
Western International University,AZ,33.403294,-111.964527,1
Empire Beauty School-NW Phoenix,AZ,33.538092999999996,-112.118168,3
Yavapai College,AZ,34.547495,-112.453395,2
University of Arkansas at Little Rock,AR,34.723254,-92.33977800000001,1
University of Arkansas for Medical Sciences,AR,34.749047999999995,-92.32004599999999,1
Arkansas Baptist College,AR,34.734751,-92.290555,1
Arkansas Beauty School-Little Rock,AR,34.672171,-92.343366,3
Arkansas Beauty College,AR,35.27902,-93.135369,3
Lyon College,AR,35.777619,-91.625354,1
Arkansas College of Barbering and Hair Design,AR,34.753842999999996,-92.266429,3
Arthur's Beauty College Inc-Fort Smith,AR,35.37995499999999,-94.410967,3
University of Arkansas,AR,36.07000900000001,-94.17698100000001,1
University of Arkansas at Pine Bluff,AR,34.244031,-92.018683,1
Arkansas State University-Beebe,AR,35.074176,-91.895351,2
Arkansas State University-Main Campus,AR,35.842388,-90.679988,1
Arkansas Tech University,AR,35.293237,-93.13561999999999,1
University of Arkansas at Monticello,AR,33.590909,-91.811153,1
Arthur's Beauty College Inc-Jacksonville,AR,34.891572,-92.102579,3
Baptist Health College Little Rock,AR,34.713115,-92.40692,2
Black River Technical College,AR,36.239793,-90.951033,2
University of Central Arkansas,AR,35.077945,-92.457672,1
Central Baptist College,AR,35.083838,-92.445021,1
Cossatot Community College of the University of Arkansas,AR,34.043389000000005,-94.3673,2
Crowley's Ridge College,AR,36.064845,-90.584395,1
Crowley's Ridge Technical Institute,AR,35.039815999999995,-90.767321,3
East Arkansas Community College,AR,35.041655,-90.767726,2
Eastern College of Health Vocations-Little Rock,AR,34.75128,-92.341891,3
Imagine-Paul Mitchell Partner School,AR,34.789913,-92.222202,3
National Park College,AR,34.512687,-93.119248,2
University of Arkansas Community College-Batesville,AR,35.79292299999999,-91.615852,2
Harding University,AR,35.247337,-91.72604100000001,1
Henderson State University,AR,34.128155,-93.059703,1
Hendrix College,AR,35.101565,-92.443256,1
Hot Springs Beauty College,AR,34.496057,-93.037277,3
Jefferson Regional Medical Center School of Nursing,AR,34.187831,-92.018045,2
John Brown University,AR,36.189811999999996,-94.560283,1
Career Academy of Hair Design,AR,36.167605,-94.12947,3
Academy of Salon and Spa,AR,35.38097,-94.41615999999999,3
Arkansas State University Mid-South,AR,35.145736,-90.22285,2
Arkansas Northeastern College,AR,35.89859699999999,-89.92100500000002,2
New Tyler Barber College Inc,AR,34.760085,-92.254171,3
North Arkansas College,AR,36.219909,-93.08844,2
Northwest Technical Institute,AR,36.178032,-94.115346,3
Ouachita Baptist University,AR,34.126093,-93.052471,1
College of the Ouachitas,AR,34.378745,-92.821416,2
Ozarka College,AR,36.053031,-91.896355,2
University of the Ozarks,AR,35.476278,-93.467221,1
University of Arkansas Community College-Morrilton,AR,35.172136,-92.728507,2
Philander Smith College,AR,34.737131,-92.283015,1
Phillips Community College of the University of Arkansas,AR,34.546155,-90.616884,2
Southeast Arkansas College,AR,34.210309,-92.025936,2
Professional Cosmetology Education Center,AR,33.216032,-92.664101,3
University of Arkansas-Pulaski Technical College,AR,34.782783,-92.299184,2
University of Arkansas Community College-Hope,AR,33.641665,-93.596762,2
University of Arkansas Community College Rich Mountain,AR,34.591449,-94.219799,2
Paul Mitchell the School-Arkansas,AR,36.126373,-94.153892,3
