INSTNM,STABBR,LATITUDE,LONGITUDE,ICLEVEL
University of Kentucky,KY,38.038911,-84.504747,1
Kentucky Christian University,KY,38.338805,-82.945561,1
Lindsey Wilson College,KY,37.101502,-85.29999699999998,1
Sullivan College of Technology and Design,KY,38.200284,-85.688947,1
University of Louisville,KY,38.216862,-85.760412,1
Madisonville Community College,KY,37.362660999999996,-87.512137,2
Maysville Community and Technical College,KY,38.626607,-83.806786,2
Midway University,KY,38.146126,-84.67814200000002,1
Morehead State University,KY,38.186768,-83.434021,1
Murray State University,KY,36.612419,-88.323629,1
Gateway Community and Technical College,KY,38.960638,-84.633478,2
Northern Kentucky University,KY,39.029714,-84.463483,1
West Kentucky Community and Technical College,KY,37.054081,-88.658762,2
University of Pikeville,KY,37.479232,-82.521063,1
Big Sandy Community and Technical College,KY,37.688248,-82.778847,2
Empire Beauty School-Chenoweth,KY,38.255764,-85.65751999999998,2
Empire Beauty School-Elizabethtown,KY,37.697453,-85.878557,2
Empire Beauty School-Dixie,KY,38.167059,-85.830866,2
Empire Beauty School-Florence,KY,39.009553000000004,-84.628998,2
Somerset Community College,KY,37.059599,-84.61754599999998,2
Southeast Kentucky Community and Technical College,KY,36.966051,-82.997661,2
The Southern Baptist Theological Seminary,KY,38.248216,-85.687649,1
Spalding University,KY,38.242407,-85.757725,1
Spencerian College-Louisville,KY,38.232177,-85.631276,1
Sullivan University,KY,38.212824,-85.670489,1
Thomas More College,KY,39.022963,-84.568923,1
Transylvania University,KY,38.05298300000001,-84.493202,1
Trend Setters' Academy of Beauty Culture-Louisville,KY,38.144782,-85.838494,2
Union College,KY,36.870875,-83.88847700000002,1
Western Kentucky University,KY,36.985034999999996,-86.456828,1
Central Louisiana Technical Community College,LA,31.260003,-92.444506,2
Ayers Career College,LA,32.418290999999996,-93.798229,3
Baton Rouge General Medical Center-School of Nursing,LA,30.449088,-91.15308399999999,2
Baton Rouge School of Computers,LA,30.422155,-91.080837,2
Bossier Parish Community College,LA,32.539551,-93.64688100000001,2
Cameron College,LA,29.965981,-90.08868100000001,2
Centenary College of Louisiana,LA,32.483335,-93.730834,1
Cloyd's Beauty School 1 Inc,LA,32.499976000000004,-92.126506,3
Crescent City Bartending School,LA,29.966842,-90.086679,3
D'Jay's Institute of Cosmetology and Esthiology,LA,30.462232,-91.071568,3
Delgado Community College,LA,29.985149,-90.103962,2
Delta School of Business and Technology,LA,30.22867,-93.214085,2
Avery James School of Cosmetology,LA,30.202601,-93.219712,3
Denham Springs Beauty School,LA,30.484636,-90.944774,3
Dillard University,LA,29.996586999999998,-90.06464,1
Nunez Community College,LA,29.954190000000004,-89.95888000000002,2
Grambling State University,LA,32.523796999999995,-92.713245,1
Guy's Shreveport Academy of Cosmetology Inc,LA,32.485759,-93.70662800000001,3
ITI Technical College,LA,30.369764,-91.030485,2
John Jay Beauty College,LA,30.019238,-90.107833,3
John Jay Beauty College,LA,30.007684,-90.230259,3
Louisiana State University Health Sciences Center-New Orleans,LA,29.957271999999996,-90.083145,1
Louisiana State University-Alexandria,LA,31.178615999999998,-92.41440899999999,1
Louisiana State University and Agricultural & Mechanical College,LA,30.414986,-91.178921,1
Louisiana State University-Eunice,LA,30.473291999999997,-92.434523,2
Louisiana State University-Shreveport,LA,32.428465,-93.70561,1
Aveda Institute-Baton Rouge,LA,30.42652600000001,-91.05430799999999,3
Aveda Institute-Lafayette,LA,30.206167999999998,-92.04209200000001,3
Louisiana Academy of Beauty,LA,30.495110999999998,-92.408948,3
Louisiana College,LA,31.324528000000004,-92.425973,1
Opelousas School of Cosmetology,LA,30.53165,-92.077854,3
Louisiana Tech University,LA,32.528296999999995,-92.649963,1
Loyola University New Orleans,LA,29.936140999999996,-90.120417,1
McNeese State University,LA,30.178187,-93.21722199999999,1
University of New Orleans,LA,30.027703999999996,-90.067142,1
New Orleans Baptist Theological Seminary,LA,30.004336,-90.043439,1
Nicholls State University,LA,29.794486,-90.801571,1
University of Louisiana at Monroe,LA,32.527747999999995,-92.07374,1
Northwest Louisiana Technical College,LA,32.586037,-93.26302,2
Northwestern State University of Louisiana,LA,31.750666,-93.097797,1
University of Holy Cross,LA,29.912003000000002,-89.99445,1
Franciscan Missionaries of Our Lady University,LA,30.401379,-91.110587,1
Pat Goins Benton Road Beauty School,LA,32.516422,-93.71936099999999,3
Celebrity Stylist Beauty School,LA,32.521209999999996,-92.085347,3
Pat Goins Ruston Beauty School,LA,32.530258,-92.640263,3
Pineville Beauty School,LA,31.325716999999997,-92.430903,3
Aveda Institute-Covington,LA,30.494049,-90.104008,3
Saint Joseph Seminary College,LA,30.526778000000004,-90.113621,1
Vanguard College of Cosmetology-Slidell,LA,30.226578000000003,-89.78094399999998,3
South Louisiana Beauty College,LA,29.592655999999998,-90.696772,3
Fletcher Technical Community College,LA,29.690884000000004,-90.811707,2
Remington College-Lafayette Campus,LA,30.16862,-92.023767,2
SOWELA Technical Community College,LA,30.217331,-93.16252,2
Stevensons Academy of Hair Design,LA,29.948438,-90.052219,3
Southeastern Louisiana University,LA,30.514652,-90.468676,1
Southern University and A & M College,LA,30.52455800000001,-91.190105,1
Southern University at New Orleans,LA,30.026162,-90.044912,1
Southern University at Shreveport,LA,32.545632,-93.834559,2
University of Louisiana at Lafayette,LA,30.212190999999997,-92.020165,1
Northshore Technical Community College,LA,30.379146999999996,-89.89919599999998,2
Tulane University of Louisiana,LA,29.940069,-90.12214399999999,1
Xavier University of Louisiana,LA,29.964161999999998,-90.10730699999999,1
South Central Louisiana Technical College,LA,29.690728000000004,-91.197848,2
Purdue University Global-Lewiston,ME,44.09104,-70.21409399999999,1
College of the Atlantic,ME,44.395258,-68.221517,1
Bates College,ME,44.105299,-70.203333,1
Beal College,ME,44.786465,-68.785428,2
Bowdoin College,ME,43.907134,-69.963942,1
Maine College of Health Professions,ME,44.100458,-70.21732,2
Central Maine Community College,ME,44.134346,-70.23549799999999,2
Colby College,ME,44.564211,-69.66337,1
Eastern Maine Community College,ME,44.826048,-68.74445,2
Kennebec Valley Community College,ME,44.594149,-69.61157,2
The Landing School,ME,43.380492,-70.503619,2
University of Maine at Augusta,ME,44.337746,-69.796396,1
University of Maine at Farmington,ME,44.666911,-70.147121,1
University of Maine at Fort Kent,ME,47.250389,-68.58931899999999,1
University of Maine at Machias,ME,44.708803,-67.458025,1
University of Maine,ME,44.899257,-68.669332,1
Maine Maritime Academy,ME,44.389654,-68.80434699999999,1
University of Maine at Presque Isle,ME,46.672284999999995,-68.016343,1
University of New England,ME,43.458591,-70.38535,1
Northern Maine Community College,ME,46.694668,-68.034796,2
Empire Beauty School-Maine,ME,43.667885,-70.258154,3
Maine College of Art,ME,43.655743,-70.261015,1
Saint Joseph's College of Maine,ME,43.826314,-70.483373,1
Spa Tech Institute-Westbrook,ME,43.676590000000004,-70.33533100000001,3
Southern Maine Community College,ME,43.646649,-70.229182,2
University of Southern Maine,ME,43.662863,-70.274247,1
Thomas College,ME,44.524909,-69.664734,1
Unity College,ME,44.603165000000004,-69.33227600000001,1
Washington County Community College,ME,45.165537,-67.243306,2
Allegany College of Maryland,MD,39.652152,-78.730398,2
Anne Arundel Community College,MD,39.049813,-76.51222299999998,2
Brightwood College-Towson,MD,39.401821999999996,-76.572434,2
Award Beauty School,MD,39.640443,-77.720283,3
Baltimore Studio of Hair Design,MD,39.293371,-76.620008,3
Baltimore City Community College,MD,39.319978000000006,-76.662878,2
University of Baltimore,MD,39.305834000000004,-76.616591,1
Bowie State University,MD,39.018184999999995,-76.759721,1
Capitol Technology University,MD,39.046673,-76.85023100000002,1
Cecil College,MD,39.642225,-75.955949,2
College of Southern Maryland,MD,38.55895,-77.00924499999998,2
Chesapeake College,MD,38.952193,-76.083668,2
Washington Adventist University,MD,38.986349,-77.000608,1
Coppin State University,MD,39.311258,-76.658687,1
Delmarva Beauty Academy,MD,38.339006,-75.601701,3
North American Trade Schools,MD,39.309556,-76.74945500000003,3
Frederick Community College,MD,39.452241,-77.417849,2
Frostburg State University,MD,39.650918,-78.93429300000003,1
Garrett College,MD,39.560493,-79.342923,2
Goucher College,MD,39.410175,-76.59484300000003,1
Purdue University Global-Hagerstown,MD,39.6729,-77.722799,1
Hagerstown Community College,MD,39.63100900000001,-77.667379,2
Harford Community College,MD,39.56131,-76.282845,2
Hood College,MD,39.420631,-77.419049,1
Howard Community College,MD,39.213636,-76.877964,2
Aveda Institute-Maryland,MD,39.531933,-76.34992700000002,3
Johns Hopkins University,MD,39.328977,-76.621595,1
Lincoln College of Technology-Columbia,MD,39.174673,-76.836463,2
Loyola University Maryland,MD,39.346358,-76.621872,1
University of Maryland-University College,MD,38.912706,-76.847584,1
University of Maryland Baltimore,MD,39.286864,-76.623983,1
University of Maryland-Baltimore County,MD,39.256686,-76.711607,1
University of Maryland-College Park,MD,38.98817800000001,-76.944721,1
Maryland Institute College of Art,MD,39.308792,-76.621033,1
University of Maryland Eastern Shore,MD,38.207386,-75.686852,1
Fortis Institute-Towson,MD,39.403271000000004,-76.60459300000002,3
Montgomery Beauty School,MD,38.999621999999995,-77.00196600000002,3
Montgomery College,MD,39.098656,-77.15929,2
Morgan State University,MD,39.344161,-76.585565,1
Mount St. Mary's University,MD,39.681705,-77.351887,1
Ner Israel Rabbinical College,MD,39.388021,-76.75352600000002,1
Hair Academy Inc-New Carrollton,MD,38.956205,-76.869467,3
Notre Dame of Maryland University,MD,39.350612,-76.619739,1
Prince George's Community College,MD,38.888689,-76.824623,2
Brightwood College-Baltimore,MD,39.260690000000004,-76.665611,2
Robert Paul Academy of Cosmetology Arts & Sciences,MD,39.4448,-76.624983,3
Maryland Beauty Academy of Essex,MD,39.29844,-76.509213,3
Salisbury University,MD,38.34648,-75.604815,1
St. Mary's College of Maryland,MD,38.190903999999996,-76.429097,1
St. John's College,MD,38.981598,-76.491359,1
Brightwood College-Beltsville,MD,39.04564600000001,-76.913368,2
Towson University,MD,39.393622,-76.611164,1
United States Naval Academy,MD,38.980507,-76.48169200000002,1
Stevenson University,MD,39.421988,-76.70209200000002,1
Washington College,MD,39.217329,-76.06878,1
McDaniel College,MD,39.584231,-77.001992,1
Wor-Wic Community College,MD,38.373723,-75.499659,2
Hult International Business School,MA,42.369968,-71.070645,1
New England College of Business and Finance,MA,42.353619,-71.056671,1
American International College,MA,42.112346,-72.558338,1
Amherst College,MA,42.372459,-72.518493,1
Anna Maria College,MA,42.330542,-71.91896,1
Assabet Valley Regional Technical School,MA,42.36775,-71.56728100000002,3
Assumption College,MA,42.294226,-71.828991,1
Babson College,MA,42.297017,-71.264057,1
Bancroft School of Massage Therapy,MA,42.268972999999995,-71.778113,3
Boston Baptist College,MA,42.254037,-71.1103,1
Bay Path University,MA,42.055088,-72.583382,1
Bay State College,MA,42.35176,-71.076991,1
Bay State School of Technology,MA,42.179505999999996,-71.114231,3
Becker College,MA,42.269171,-71.811894,1
Bentley University,MA,42.385995,-71.22283900000002,1
Berklee College of Music,MA,42.346646,-71.089405,1
Berkshire Community College,MA,42.45975,-73.314704,2
Empire Beauty School-Boston,MA,42.354683,-71.062722,3
Boston Architectural College,MA,42.348467,-71.085786,1
Boston College,MA,42.336213,-71.16924200000003,1
Boston University,MA,42.351118,-71.10794200000002,1
Brandeis University,MA,42.365727,-71.26015500000003,1
Bridgewater State University,MA,41.98749,-70.974553,1
Bristol Community College,MA,41.721994,-71.11913299999998,2
Signature Healthcare Brockton Hospital School of Nursing,MA,42.08736,-70.991415,2
Bunker Hill Community College,MA,42.374806,-71.069263,2
Cambridge College,MA,42.381091,-71.07264599999998,1
Cape Cod Community College,MA,41.691911,-70.337334,2
Catherine Hinds Institute of Esthetics,MA,42.493212,-71.13715,3
Laboure College,MA,42.260866,-71.058279,1
Clark University,MA,42.249987,-71.823356,1
Curry College,MA,42.238061,-71.116539,1
Lincoln Technical Institute-Somerville,MA,42.390826000000004,-71.082082,3
Dean College,MA,42.08563400000001,-71.397813,1
Diman Regional Technical Institute,MA,41.699857,-71.124742,3
National Aviation Academy of New England,MA,42.462164,-71.387244,2
Eastern Nazarene College,MA,42.271228,-71.01107900000002,1
Emerson College,MA,42.352202,-71.065384,1
Emmanuel College,MA,42.340602000000004,-71.103634,1
Endicott College,MA,42.553296,-70.840847,1
Rob Roy Academy-Fall River,MA,41.698904999999996,-71.157664,3
Fisher College,MA,42.35525300000001,-71.074125,1
Fitchburg State University,MA,42.588297999999995,-71.789666,1
Framingham State University,MA,42.297115999999995,-71.437565,1
Benjamin Franklin Institute of Technology,MA,42.346022999999995,-71.070231,1
Gordon College,MA,42.590567,-70.82151,1
Greenfield Community College,MA,42.599512,-72.630977,2
Hampshire College,MA,42.32585200000001,-72.531469,1
Harvard University,MA,42.374471,-71.118313,1
Hebrew College,MA,42.325677,-71.189226,1
Hellenic College-Holy Cross Greek Orthodox School of Theology,MA,42.317018,-71.129418,1
College of the Holy Cross,MA,42.23752,-71.808214,1
Holyoke Community College,MA,42.194781,-72.651252,2
Lasell College,MA,42.342148,-71.24347,1
Lawrence Memorial Hospital School of Nursing,MA,42.42581,-71.110958,2
Lesley University,MA,42.38012,-71.117303,1
Longy School of Music of Bard College,MA,42.378657000000004,-71.123479,1
Lowell Academy Hairstyling Institute,MA,42.64360900000001,-71.308309,3
University of Massachusetts-Lowell,MA,42.652864,-71.326809,1
Mansfield Beauty Schools-Springfield,MA,42.103884,-72.591679,3
Mansfield Beauty Schools-Quincy,MA,42.244852,-71.003129,3
University of Massachusetts-Amherst,MA,42.385999,-72.526728,1
University of Massachusetts-Boston,MA,42.312881,-71.036865,1
Massachusetts Bay Community College,MA,42.312292,-71.263821,2
MCPHS University,MA,42.336825,-71.101244,1
Massachusetts College of Art and Design,MA,42.336861999999996,-71.099275,1
Massachusetts Institute of Technology,MA,42.359243,-71.093226,1
Massachusetts Maritime Academy,MA,41.739072,-70.624084,1
Massachusetts School of Barbering,MA,42.247457,-71.001891,3
Massasoit Community College,MA,42.075070000000004,-70.989799,2
Merrimack College,MA,42.668344,-71.124216,1
MGH Institute of Health Professions,MA,42.375018,-71.054002,1
Middlesex Community College,MA,42.524328000000004,-71.27493100000002,2
Montserrat College of Art,MA,42.550212,-70.876131,1
Mount Holyoke College,MA,42.256838,-72.57551099999998,1
Mount Ida College,MA,42.293525,-71.193175,1
Mount Wachusett Community College,MA,42.593142,-71.984148,2
Rob Roy Academy-New Bedford,MA,41.67192100000001,-70.925187,3
The New England Conservatory of Music,MA,42.340946,-71.08629,1
New England School of Photography,MA,42.371534000000004,-71.23665,3
Newbury College,MA,42.331032,-71.14208199999999,1
Nichols College,MA,42.044033,-71.930283,1
Massachusetts College of Liberal Arts,MA,42.691361,-73.102817,1
North Bennet Street School,MA,42.362790000000004,-71.05452,2
North Shore Community College,MA,42.590103000000006,-70.96804399999998,2
Northeastern University,MA,42.339991999999995,-71.088782,1
Northern Essex Community College,MA,42.79663400000001,-71.04904,2
College of Our Lady of the Elms,MA,42.141781,-72.60154,1
Pine Manor College,MA,42.320827,-71.156464,1
Quincy College,MA,42.252416,-71.003476,2
Quinsigamond Community College,MA,42.313790000000004,-71.79503000000003,2
Regis College,MA,42.351290999999996,-71.31056099999998,1
Roxbury Community College,MA,42.329249,-71.09549,2
Saint John's Seminary,MA,42.344146,-71.161998,1
Salem State University,MA,42.503575,-70.89023399999998,1
Salter College-West Boylston,MA,42.35171500000001,-71.78779899999998,2
Simmons University,MA,42.3393,-71.099967,1
Bard College at Simon's Rock,MA,42.208803,-73.379201,1
Smith College,MA,42.318111,-72.638097,1
Southeastern Technical Institute,MA,42.010312,-71.081227,3
Springfield College,MA,42.101576,-72.556751,1
Springfield Technical Community College,MA,42.10882700000001,-72.578514,2
University of Massachusetts-Dartmouth,MA,41.62869,-71.004552,1
Stonehill College,MA,42.05905,-71.080632,1
Suffolk University,MA,42.357945,-71.060917,1
Rob Roy Academy-Taunton,MA,41.901945,-71.091966,3
Tufts University,MA,42.40855,-71.11829300000002,1
Wellesley College,MA,42.291554,-71.306605,1
Wentworth Institute of Technology,MA,42.336632,-71.094983,1
Western New England University,MA,42.115017,-72.520466,1
Westfield State University,MA,42.132698,-72.796503,1
Wheaton College,MA,41.966637,-71.18397900000002,1
Wheelock College,MA,42.349707,-71.100868,1
Williams College,MA,42.712725,-73.203132,1
Worcester Polytechnic Institute,MA,42.274853,-71.808339,1
Worcester State University,MA,42.267526000000004,-71.844018,1
Adrian College,MI,41.898590999999996,-84.061481,1
Albion College,MI,42.245049,-84.745639,1
Hillsdale Beauty College,MI,41.918718,-84.631429,3
Northwestern Technological Institute,MI,42.469188,-83.238529,3
Alma College,MI,43.38004,-84.672053,1
Alpena Community College,MI,45.081647,-83.44506899999998,1
Andrews University,MI,41.963859,-86.355815,1
Aquinas College,MI,42.960190000000004,-85.628785,1
Baker College,MI,42.974764,-83.69467900000002,1
Bay de Noc Community College,MI,45.772586,-87.085228,2
Bayshire Academy of Beauty Craft Inc,MI,43.599758,-83.88895,3
Cadillac Institute of Cosmetology,MI,44.251343,-85.400684,3
Calvin College,MI,42.929916,-85.587548,1
Carnegie Institute,MI,42.53889,-83.118801,2
Central Michigan University,MI,43.591203,-84.77525,1
Mott Community College,MI,43.019940999999996,-83.67243,2
Empire Beauty School-Michigan,MI,43.028642,-85.691067,3
Cleary University,MI,42.586638,-83.879987,1
Concordia University-Ann Arbor,MI,42.273157,-83.68268,1
College for Creative Studies,MI,42.361839,-83.062352,1
Davenport University,MI,42.850013,-85.533519,1
David Pressley School of Cosmetology,MI,42.479729,-83.146008,3
Delta College,MI,43.559490999999994,-83.985943,2
Detroit Business Institute-Downriver,MI,42.168682000000004,-83.191212,3
MIAT College of Technology,MI,42.286324,-83.44550699999998,2
University of Detroit Mercy,MI,42.414221999999995,-83.139158,1
Dorsey Business Schools-Madison Heights,MI,42.525318,-83.10763100000001,3
Dorsey Business Schools-Southgate,MI,42.213026,-83.215663,3
Eastern Michigan University,MI,42.24694,-83.622501,1
Creative Hair School of Cosmetology,MI,42.980416,-83.757927,3
Ferris State University,MI,43.687723999999996,-85.481925,1
Flint Institute of Barbering Inc,MI,43.02733900000001,-83.73911,2
Glen Oaks Community College,MI,41.892503999999995,-85.49692900000002,2
Kettering University,MI,43.012468,-83.71282,1
Gogebic Community College,MI,46.471893,-90.165592,2
Grace Christian University,MI,42.919540999999995,-85.692077,1
Cornerstone University,MI,42.979966,-85.59532800000002,1
Grand Rapids Community College,MI,42.967076,-85.665625,2
Grand Valley State University,MI,42.963001,-85.889826,1
Great Lakes Christian College,MI,42.754249,-84.63871400000002,1
Henry Ford College,MI,42.32463900000001,-83.236056,1
Hillsdale College,MI,41.933682,-84.633195,1
Hope College,MI,42.787298,-86.102089,1
Jackson College,MI,42.16483,-84.403942,1
Kalamazoo College,MI,42.290789000000004,-85.601857,1
Kalamazoo Valley Community College,MI,42.225947999999995,-85.682144,2
Kellogg Community College,MI,42.335638,-85.177329,2
Kirtland Community College,MI,44.49075300000001,-84.413388,2
Michigan College of Beauty-Monroe,MI,41.907014000000004,-83.407005,3
Lake Michigan College,MI,42.097276,-86.393445,1
Lake Superior State University,MI,46.492849,-84.365573,1
Lansing Community College,MI,42.737719,-84.553315,2
Lawrence Technological University,MI,42.474072,-83.25003000000002,1
M J Murphy Beauty College of Mount Pleasant,MI,43.60429,-84.777927,3
Macomb Community College,MI,42.505990000000004,-82.97237700000002,2
Madonna University,MI,42.384322999999995,-83.40472199999998,1
Marygrove College,MI,42.41441500000001,-83.15410899999998,1
Rochester College,MI,42.667521,-83.144959,1
University of Michigan-Ann Arbor,MI,42.275921000000004,-83.742769,1
Michigan Barber School Inc,MI,42.365023,-83.128883,2
Michigan State University,MI,42.73212,-84.476111,1
Michigan Technological University,MI,47.11866,-88.54809200000004,1
University of Michigan-Dearborn,MI,42.317287,-83.23141700000002,1
University of Michigan-Flint,MI,43.01875,-83.690276,1
Mid Michigan College,MI,43.969586,-84.763715,2
Monroe County Community College,MI,41.91617,-83.470274,2
Montcalm Community College,MI,43.253190999999994,-85.100181,2
Mr Bela's School of Cosmetology Inc,MI,42.490388,-83.065551,3
Muskegon Community College,MI,43.250329,-86.196384,2
Altierus Career Education-Southfield,MI,42.448285999999996,-83.261379,3
North Central Michigan College,MI,45.361727,-84.954183,2
Northern Michigan University,MI,46.559751,-87.40656800000002,1
Northwestern Michigan College,MI,44.765436,-85.58551700000002,1
Northwood University,MI,43.628717,-84.27682,1
Oakland Community College,MI,42.595440999999994,-83.244787,2
Oakland University,MI,42.674572999999995,-83.216418,1
Olivet College,MI,42.442890999999996,-84.923891,1
Port Huron Cosmetology College,MI,42.700677,-83.398624,3
Kuyper College,MI,43.02195,-85.59265699999997,1
Ross Medical Education Center-Lansing,MI,42.741855,-84.605807,3
Ross Medical Education Center-Madison Heights,MI,42.508189,-83.107692,3
Ross Medical Education Center-Flint,MI,42.986442,-83.751751,3
Sacred Heart Major Seminary,MI,42.375248,-83.111682,1
Saginaw Valley State University,MI,43.511759999999995,-83.96427299999998,1
Schoolcraft College,MI,42.419278999999996,-83.43095799999998,1
Siena Heights University,MI,41.905623999999996,-84.01884100000002,1
St Clair County Community College,MI,42.979494,-82.428717,2
Southwestern Michigan College,MI,41.965095,-86.08271500000002,2
Specs Howard School of Media Arts,MI,42.459245,-83.23930899999998,3
Spring Arbor University,MI,42.206568,-84.556074,1
Michigan Career and Technical Institute,MI,42.504599,-85.517049,3
Finlandia University,MI,47.127868,-88.588756,1
Twin City Beauty College,MI,42.071099,-86.47655,3
Walsh College,MI,42.573888000000004,-83.14719699999998,1
Washtenaw Community College,MI,42.26361,-83.66559000000002,2
Wayne County Community College District,MI,42.327299,-83.054497,2
Wayne State University,MI,42.358994,-83.068998,1
West Shore Community College,MI,44.008511999999996,-86.336122,2
Paul Mitchell the School-Grand Rapids,MI,42.910707,-85.59660500000003,3
Western Michigan University,MI,42.282194,-85.613759,1
Wright Beauty Academy,MI,42.308774,-85.19696,3
Academy College,MN,44.855722,-93.299809,1
Alexandria Technical & Community College,MN,45.873107,-95.37236899999999,2
American Indian OIC Inc,MN,44.961993,-93.246155,3
Anoka Technical College,MN,45.216709,-93.416087,2
Anoka-Ramsey Community College,MN,45.172978,-93.351697,2
Augsburg University,MN,44.966307,-93.240436,1
Riverland Community College,MN,43.676271,-92.995626,2
Northwest Technical College,MN,47.452652,-94.853974,2
Bemidji State University,MN,47.482341,-94.874119,1
Bethany Lutheran College,MN,44.166649,-93.99080500000001,1
Bethel University,MN,45.057655,-93.161663,1
Central Lakes College-Brainerd,MN,46.345863,-94.21426600000001,2
Carleton College,MN,44.462317999999996,-93.154666,1
Concordia College at Moorhead,MN,46.862482,-96.76749000000001,1
Concordia University-Saint Paul,MN,44.949759,-93.154861,1
Dakota County Technical College,MN,44.737255,-93.07805,2
Martin Luther College,MN,44.30526,-94.472326,1
Lake Superior College,MN,46.78455,-92.145151,2
Cosmetology Careers Unlimited College of Hair Skin and Nails,MN,46.78559600000001,-92.100581,3
Duluth Business University,MN,46.741732,-92.157675,1
Minnesota State Community and Technical College,MN,46.289194,-96.097321,2
Minnesota West Community and Technical College,MN,44.80755,-95.56172,2
Gustavus Adolphus College,MN,44.323626000000004,-93.972196,1
Hamline University,MN,44.96624600000001,-93.164479,1
Hennepin Technical College,MN,45.09653400000001,-93.397759,2
Hibbing Community College,MN,47.422360999999995,-92.92169799999999,2
Aveda Institute-Minneapolis,MN,44.987863,-93.253713,3
Inver Hills Community College,MN,44.828599,-93.055255,2
Itasca Community College,MN,47.241919,-93.49555,2
Macalester College,MN,44.938565000000004,-93.168053,1
South Central College,MN,44.174319,-94.047428,2
Minnesota State University-Mankato,MN,44.146712,-93.99945,1
Mayo Clinic School of Health Sciences,MN,44.022784,-92.466656,1
Argosy University-Twin Cities,MN,44.837291,-93.173867,1
Mesabi Range College,MN,47.524561,-92.549092,2
Metropolitan State University,MN,44.957256,-93.074361,1
University of Minnesota-Twin Cities,MN,44.972851,-93.23546400000001,1
University of Minnesota-Crookston,MN,47.802535999999996,-96.606188,1
Minneapolis Business College,MN,45.006831,-93.173041,2
Minneapolis College of Art and Design,MN,44.956988,-93.27470500000001,1
Minneapolis Community and Technical College,MN,44.972679,-93.28450699999999,2
Herzing University-Minneapolis,MN,44.975225,-93.404863,1
Minnesota School of Cosmetology-Woodbury Campus,MN,44.924692,-92.973998,3
University of Minnesota-Duluth,MN,46.817126,-92.084385,1
University of Minnesota-Morris,MN,45.589828999999995,-95.901756,1
Model College of Hair Design,MN,45.55773,-94.159447,3
Minnesota State University Moorhead,MN,46.867153,-96.759532,1
North Hennepin Community College,MN,45.106937,-93.37453599999999,2
National American University-Roseville,MN,45.009443,-93.16265899999999,1
Normandale Community College,MN,44.829706,-93.331673,2
North Central University,MN,44.968625,-93.261511,1
Northland Community and Technical College,MN,48.124969,-96.162366,2
University of Northwestern-St Paul,MN,45.033703,-93.167822,1
Northwestern Health Sciences University,MN,44.850963,-93.311222,1
Oak Hills Christian College,MN,47.425836,-94.901503,1
Pine Technical & Community College,MN,45.818667,-92.968283,2
Rainy River Community College,MN,48.590001,-93.43160300000001,2
Rochester Community and Technical College,MN,44.014488,-92.42321,2
College of Saint Benedict,MN,45.561792,-94.319888,1
St Cloud Technical and Community College,MN,45.579065,-94.175841,2
Saint Cloud State University,MN,45.553227,-94.15265699999999,1
Saint Johns University,MN,45.580075,-94.393621,1
Saint Mary's University of Minnesota,MN,44.044736,-91.695449,1
St Olaf College,MN,44.461529,-93.182039,1
Crown College,MN,44.885393,-93.74301899999999,1
The College of Saint Scholastica,MN,46.816082,-92.106134,1
University of St Thomas,MN,44.943439,-93.188986,1
Empire Beauty School-Bloomington,MN,44.827459999999995,-93.287367,3
St Catherine University,MN,44.924926,-93.183761,1
Rasmussen College-Minnesota,MN,45.548117,-94.206254,1
Saint Paul College,MN,44.949186,-93.109646,2
Southwest Minnesota State University,MN,44.45373,-95.759548,1
Summit Academy Opportunities Industrialization Center,MN,44.983569,-93.292776,3
Vermilion Community College,MN,47.90518400000001,-91.837777,2
Dunwoody College of Technology,MN,44.972809999999996,-93.29060799999999,1
Ridgewater College,MN,45.138313000000004,-95.07305,2
Minnesota State College Southeast,MN,44.024553999999995,-91.618318,2
Winona State University,MN,44.046159,-91.643723,1
Century College,MN,45.041823,-92.982105,2
Alcorn State University,MS,31.877215999999997,-91.142854,1
Belhaven University,MS,32.318415,-90.169228,1
Blue Mountain College,MS,34.672090000000004,-89.02924,1
Chris Beauty College,MS,30.382294,-89.077391,2
Coahoma Community College,MS,34.254417,-90.568469,2
Antonelli College-Jackson,MS,32.328918,-90.12297,2
Copiah-Lincoln Community College,MS,31.69272,-90.400234,2
Delta Beauty College,MS,33.398819,-91.03670100000001,2
Delta State University,MS,33.744745,-90.735365,1
East Central Community College,MS,32.441164,-89.11370600000002,2
East Mississippi Community College,MS,32.830246,-88.48351600000002,2
Fosters Cosmetology College,MS,34.755677,-88.942133,3
Academy of Hair Design-Grenada,MS,33.775197999999996,-89.825313,2
Hinds Community College,MS,32.256109,-90.41611800000001,2
Holmes Community College,MS,32.969985,-89.915803,2
Itawamba Community College,MS,34.276519,-88.41207299999998,2
Jackson State University,MS,32.296105,-90.20740500000001,1
Jones County Junior College,MS,31.596936,-89.20089499999996,2
Meridian Community College,MS,32.367354999999996,-88.732823,2
Millsaps College,MS,32.322746,-90.179957,1
Mississippi Delta Community College,MS,33.444906,-90.502053,2
University of Mississippi,MS,34.365528999999995,-89.53743399999998,1
Mississippi University for Women,MS,33.493305,-88.418601,1
Mississippi Valley State University,MS,33.514142,-90.341274,1
Mississippi College,MS,32.335515,-90.329821,1
Mississippi College of Beauty Culture,MS,31.693315999999996,-89.135405,3
