INEXPFTE,AVGFACSAL,PCIP05,PCIP16,PPTUG_EF,PCIP14,COSTT4_A,PCIP43,UGDS_NRA,UGDS_BLACK,PCIP38,PCIP03,PCIP04,PCIP51,PCIP52,UGDS_AIAN,PCIP13,PCIP24,PCIP31,UGDS_WOMEN
19.397002406443235,19.113813641409546,0.0,0.0,0.4031008989457289,0.4219036788917115,10.038324342758338,0.3807556523926606,0.20723510980592608,0.9680927557224708,0.0,0.2606100075337349,0.20645602309127345,0.0,0.5539658256754464,0.12805791649874942,0.4921438757841805,0.3953631227905752,0.0,0.5775
25.830754743201105,21.994488977725336,0.12805791649874942,0.13572088082974532,0.6312179345212546,0.4117356522117575,10.091211158619078,0.3117555613369834,0.2691606306043642,0.6370206572249462,0.17967017791430526,0.0,0.0,0.629372012169974,0.5903072229320181,0.14888055529538274,0.4051419509521947,0.26542828572755145,0.0,0.5958
17.396669992946993,15.69473365228469,0.0,0.0,0.8160808423045528,0.0,9.621190952360683,0.4298070163405688,0.0,0.5228102291438592,0.0,0.0,0.0,0.0,0.7041925265450657,0.0,0.0,0.502652569531348,0.0,0.6366
21.36183257058784,21.097805301702884,0.0,0.2308350239753609,0.5308565714551029,0.6632772413422066,10.003740044425221,0.0,0.2884499140614817,0.47518921362978994,0.1966095144983117,0.0,0.0,0.467232872835526,0.6171880988617807,0.22239800905693155,0.3239611801277483,0.0,0.29433826584416684,0.4195
19.98582328674776,19.48607377359071,0.0,0.0,0.4256161765762369,0.0,9.873749734272172,0.4346246817732808,0.22035754532216253,0.9788560857941512,0.0,0.0,0.0,0.5677411370845433,0.4797220613159684,0.11186889420813967,0.4966441941896344,0.0,0.28924894837622245,0.6219
22.168133268960208,21.555831095937343,0.14580997358267114,0.16868653306034986,0.42944583380378826,0.4782692297017476,10.2694145637968,0.2904392866781852,0.2525080871833849,0.46493119573956,0.14260431471424087,0.15036945962049747,0.0,0.4857299385299982,0.6692841541337069,0.14736125994561547,0.4041240020622191,0.0,0.0,0.5557
19.563022047468824,19.589985165509297,0.0,0.20953791063432944,0.6140216228101185,0.0,9.898123190036976,0.3875320819778509,0.3304981762430041,0.7264063072349811,0.0,0.1663103498840766,0.0,0.6204956148100467,0.5868432377146611,0.17324782106818054,0.4330306894031501,0.20953791063432944,0.3875320819778509,0.6417
22.93681460432221,21.642286844492997,0.0,0.2032792713629707,0.4376040568813548,0.5668088839507935,10.324136795969332,0.0,0.32585573302196424,0.3968502629920499,0.14422495703074084,0.25039936170122445,0.25039936170122445,0.3895194607427816,0.6173630636050618,0.16386425412012914,0.3722915970127691,0.0,0.0,0.4927
21.734409931571,19.809864825478673,0.0,0.1957433820584432,0.20487996145182666,0.22440170265918305,10.82855961541762,0.0,0.0,0.491178614934052,0.246621207433047,0.2659005790469173,0.0,0.0,0.6377590898689419,0.17651741676630314,0.4075643819136246,0.0,0.0,0.516
22.178980727181138,17.55384774523176,0.0,0.0,0.4160167646103808,0.0,10.226331631955958,0.5155136735475772,0.36543202737270414,0.9672383987374958,0.0,0.0,0.0,0.4091634738467075,0.6029484502977571,0.0,0.54781502272614,0.7088668030462956,0.0,0.5064
20.343242206747423,16.903723372277902,0.0,0.0,0.608130079508672,0.0,10.189192672103687,0.3332221851645953,0.0,0.8724141342909675,0.0,0.0,0.0,0.8486020851713002,0.4670801324281613,0.13924766500838334,0.0,0.0,0.0,0.7263
17.200621935326186,17.865248891235627,0.0,0.0,0.6156089326460119,0.0,10.364734201103053,0.5506878446387353,0.28924894837622245,0.7920568098555048,0.0,0.0,0.0,0.22239800905693155,0.8356292244076496,0.121644039911468,0.36717102310249816,0.2339214190570293,0.32679480372687825,0.6127
16.531619807384498,17.500680245666548,0.0,0.0,0.814325284978472,0.0,10.232719354644702,0.2797787367627532,0.0,0.8406117991966161,0.0,0.0,0.0,0.9641286307581975,0.3011070211007578,0.12385623296301708,0.0,0.0,0.0,0.73
19.19557913262086,18.99261023796336,0.0,0.0,0.5858737278742512,0.0,10.453803083988529,0.2951057745751443,0.09654893846056298,0.5928787776633655,0.23452900988768355,0.0,0.0,0.14736125994561547,0.7682345565391582,0.17651741676630314,0.4372556458607444,0.0,0.5047546434166496,0.5159
21.75133210672372,16.882698819023627,0.0,0.0,0.8239134763204187,0.0,10.266914649297394,0.0,0.0,0.4077649549685962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0508
19.59866713135316,19.09280541872008,0.0,0.08879040017426007,0.5664974504353757,0.0,9.947073723199047,0.377976314968462,0.27053392289952405,0.5749905480487868,0.0,0.0,0.0,0.6336348210635341,0.5341480603341451,0.1903778261963303,0.4252478369923492,0.3763359755402319,0.1885203631020986,0.5757
22.57963550455927,18.10229817282447,0.0,0.0,0.6461707798341402,0.0,10.324071131775993,0.3292729632312839,0.0,0.5848035476425733,0.2615879154109254,0.0,0.0,0.7211247851537042,0.2615879154109254,0.18469147504478334,0.3770407262041972,0.0,0.0,0.981
20.242872053080358,18.862347704012294,0.0,0.0,0.4998666310953002,0.0,9.886951583896028,0.0,0.3656814691070697,0.7620282847844296,0.0,0.0,0.0,0.540155419369974,0.6196286364350903,0.14094597464129785,0.4586792613421551,0.0,0.4427649577706209,0.5541
16.382700377692252,16.440865763472914,0.0,0.0,0.3823583709636153,0.0,10.014447362844388,0.6115360374929649,0.0,0.9864505755973041,0.0,0.0,0.0,0.0,0.6526518879343751,0.08434326653017493,0.2996291714390912,0.0,0.0,0.4924
