INEXPFTE,PCIP16,UGDS_ASIAN,PPTUG_EF,COSTT4_A,PCIP14,UGDS_BLACK,RET_FT4_POOLED,CIP38BACHL,CIP16BACHL,AVGFACSAL_binq,INEXPFTE_binq,PCIP27_binr
19.397002406443235,0.0,0.12385623296301708,0.4031008989457289,10.03828064887766,0.4219036788917115,0.9680927557224708,0.33965584,0,0,3,3,0
25.830754743201105,0.13572088082974532,0.38885925700147694,0.6312179345212546,10.091169715572176,0.4117356522117575,0.6370206572249462,0.6908934400000001,1,1,4,4,1
17.396669992946993,0.0,0.14580997358267114,0.8160808423045528,9.621124641561947,0.0,0.5228102291438592,0.0625,0,0,1,2,0
21.36183257058784,0.2308350239753609,0.34256423396101565,0.5308565714551029,10.003694812953153,0.6632772413422066,0.47518921362978994,0.68079001,1,1,4,4,1
19.98582328674776,0.0,0.14580997358267114,0.4256161765762369,9.873698223725377,0.0,0.9788560857941512,0.36990724,0,0,3,3,1
22.168133268960208,0.16868653306034986,0.2263702391925901,0.42944583380378826,10.269379885524467,0.4782692297017476,0.46493119573956,0.75151561,1,1,4,4,1
19.563022047468824,0.20953791063432944,0.2947225198912309,0.6140216228101185,9.898072919834627,0.0,0.7264063072349811,0.45522009,0,1,3,3,1
22.93681460432221,0.2032792713629707,0.2884499140614817,0.4376040568813548,10.324103964411636,0.5668088839507935,0.3968502629920499,0.83265625,1,1,4,4,1
21.734409931571,0.1957433820584432,0.3809854385995499,0.20487996145182666,10.828539790078855,0.22440170265918305,0.491178614934052,0.627264,1,1,3,4,1
22.178980727181138,0.0,0.0,0.4160167646103808,10.226295426963283,0.0,0.9672383987374958,0.18731584,0,0,2,4,0
20.343242206747423,0.0,0.2210418899184232,0.608130079508672,10.189155097188696,0.0,0.8724141342909675,0.08838729000000001,0,0,1,3,0
17.200621935326186,0.0,0.15874010519681994,0.6156089326460119,10.364702675748783,0.0,0.7920568098555048,0.31663128999999995,0,0,2,2,1
16.531619807384498,0.0,0.0,0.814325284978472,10.232683380186565,0.0,0.8406117991966161,0.11108889,0,0,2,2,0
19.19557913262086,0.0,0.16509636244473133,0.5858737278742512,10.453774245183032,0.0,0.5928787776633655,0.40106889,1,0,3,3,1
19.59866713135316,0.08879040017426007,0.19309787692112595,0.5664974504353757,9.947025854550613,0.0,0.5749905480487868,0.57790404,0,1,3,3,1
22.57963550455927,0.0,0.2668401648721945,0.6461707798341402,10.324038298062334,0.0,0.5848035476425733,0.3885028899999999,1,1,2,4,0
20.242872053080358,0.0,0.12385623296301708,0.4998666310953002,9.886900748931732,0.0,0.7620282847844296,0.4316490000000001,0,0,3,3,1
16.382700377692252,0.0,0.0,0.3823583709636153,10.014402613107283,0.0,0.9864505755973041,0.27836176,0,0,1,2,1
18.346180160034272,0.0,0.24158670891607184,0.4597856594361319,10.470391006521822,0.0,0.5705196860918562,0.4872039999999999,1,0,1,3,1
22.24653819810944,0.2139974961130159,0.211045429449015,0.4622947713758175,10.083222433433317,0.0,0.5425440088318543,0.56791296,0,1,3,4,1
19.798816376546927,0.22306991044756197,0.18069688693211894,0.4831734178321437,9.810439811486058,0.0,0.5337973392481921,0.5689684899999999,0,1,3,3,1
18.745450748170867,0.25458216848297444,0.16261333316791687,0.3989556088242901,10.47861104348485,0.0,0.943239164796394,0.51753636,0,1,1,3,1
24.70916300750289,0.1675068683602234,0.2139974961130159,0.31072325059538586,10.712103982902187,0.21179117921274465,0.4107501633974777,0.77141089,1,1,4,4,1
18.329328785589567,0.0,0.0,0.6386593027908275,9.617271072245957,0.0,0.9902723462529434,0.31270464000000003,0,0,1,3,0
20.86382025341652,0.181712059283214,0.31072325059538586,0.5344983214576885,9.888475432415623,0.4593121414292208,0.6083102929077256,0.56746089,1,1,3,4,1
19.664400134597546,0.16509636244473133,0.2217220230966632,0.20567101162059634,10.838678543910763,0.2080083823051904,0.5436740766852495,0.60016009,1,1,3,3,1
16.483914534954142,0.0,0.0,0.5039684199579493,9.893588720356881,0.0,0.953064893638634,0.19324816,1,0,1,2,0
17.508295386909776,0.0,0.0,0.2947225198912309,10.012969563153128,0.0,0.953541719596312,0.3260410000000001,0,0,2,2,1
18.756827143467227,0.16868653306034986,0.20567101162059634,0.6733521762745222,9.830110082731352,0.0,0.6699532157129842,0.51955264,0,1,3,3,1
23.20175373187584,0.0,0.19219973427746714,0.3396998504483621,10.509796068463533,0.5813720982950077,0.92866575542192,0.4803876100000001,0,0,1,4,1
22.696711407521285,0.1912931182772389,0.4491341374979833,0.7572918386586617,9.858803944909488,0.3676648650199341,0.3223652863633457,0.48762289,1,1,4,4,1
25.68000281441337,0.2659005790469173,0.26961994997758504,0.7385826290477779,9.75080246487048,0.4481404746557165,0.302570504705218,0.58155876,0,1,4,4,1
24.602238322781982,0.0,0.33824936373513353,0.8082480041244381,9.757652204312585,0.0,0.2257178717737001,0.3951379600000001,0,0,4,4,1
22.319711502204065,0.0,0.2723435681568877,0.6440884103767491,10.388656849488333,0.0,0.3434142727659996,0.4156380900000001,0,0,2,4,0
12.409479397316982,0.0,0.16134286460245434,0.0,10.472544347865023,0.0,0.3819018232208069,0.36,0,0,1,1,0
23.09038160810759,0.20645602309127345,0.4207770949475964,0.4381256355119621,10.100410324207257,0.4794321989726973,0.3353104718062422,0.7435612899999999,1,1,4,4,1
23.02769191346048,0.2864327157991219,0.377976314968462,0.5,10.171872120095925,0.4175518957326898,0.3422799481591006,0.66896041,1,1,4,4,1
